"","economy","year","wanted_fertility_rate","adolescent_fertility_rate","labor_force_basic_education_male_percent","labor_force_basic_education_female_percent","labor_force_advanced_education_male_percent","labor_force_advanced_education_female_percent","education_expenditure","labor_force_intermediate_education_male_percent","labor_force_intermediate_education_total_percent","family_planning_demand","gender_equality_rating","literacy_rate_15_to_24","school_enrollment_primary","school_enrollment_primary_and_secondary","school_enrollment_secondary","school_enrollment_tertiary","death_by_infectious_disease_or_maternal_conditions","prop_ppl_below_50_med_income","income_share_low_10_percent","income_share_low_20_percent","mean_income_per_cap_bottom_40_percent","prop_spending_more_10_percent_healthcare_oop","prop_spending_more_25_percent_healthcare_oop","net_income_growth_per_cap","percent_pregnant_receiving_prenatal_care","health_expenditure_per_capita","women_3_decisions","informed_repro_health","HCI","percent_female_pop","population_total","gdp_capita_growth","birth_rate","secondary_education_count","secondary_education_percent_F","secondary_education_percent_M","infant_mortality_rate","neonatal_mortality_rate","gdp","female_primary_age_oo_school","female_primary_age_oo_school.1","female_below_min_reading_proficiency","gross_intake_ratio_first_grade_F","primary_school_completion_rate_F","lower_secondary_completion_rate_F"
"617","SSF",2021,NA,95.681228476507,NA,NA,NA,NA,3.59387482003268,NA,NA,NA,3.19230769230769,0.934379994869232,NA,NA,NA,0.794170022010803,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.647913045961,NA,NA,NA,50.1689990322461,1199011925,1.70511279034909,33.8516334047703,75035912,NA,NA,46.8,27.3,1943719394821.09,NA,NA,NA,NA,68.6425094604492,42.937801361084
"618","SSF",2022,NA,94.4197483140324,NA,NA,NA,NA,NA,NA,NA,NA,3.23076923076923,0.937340021133423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.079304278953,NA,NA,NA,50.1626672619458,1229208573,1.20192722562284,33.4948272937338,77328904,NA,NA,46.5,26.9,2085278582815.11,NA,NA,NA,NA,67.8231964111328,42.7926216125488
"619","SST",2018,NA,38.1774859684534,NA,NA,NA,NA,4.94278445395328,NA,NA,NA,3.275,1.00196003913879,0.983049988746643,1.00849997997284,1.04917001724243,1.35878002643585,NA,NA,NA,NA,NA,NA,NA,NA,NA,1201.44760442389,NA,NA,NA,49.7767307868579,19084934,2.20792806173411,17.660392861301,3107459.75,49.91619,50.08381,24.5769721875905,15.0497728091893,229205977078.088,NA,NA,NA,102.2879,86.2899475097656,70.6872024536133
"620","SST",2019,NA,37.1876585293094,NA,NA,NA,NA,4.86680733380173,NA,NA,NA,3.325,1.002769947052,0.98769998550415,1.00981998443604,1.04546999931335,1.35904002189636,16.6942300146243,NA,NA,NA,NA,NA,NA,NA,NA,1322.21478839208,NA,NA,NA,49.7337720035181,19293697,2.07864836265964,17.3627809553555,3177114.25,NA,NA,24.2966545368129,14.8951829132443,230723882097.479,NA,NA,NA,NA,86.2555999755859,70.7707901000977
"621","SST",2020,NA,36.210386774199,NA,NA,NA,NA,4.89641662803277,NA,NA,NA,3.4047619047619,1.00538003444672,0.989579975605011,1.01010000705719,1.0436999797821,1.3589700460434,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420.60587735402,NA,NA,NA,49.7298100626874,19472157,-7.79394648264096,17.0788932641104,3213865.75,NA,NA,23.783960174342,14.6789873554135,208338277477.527,NA,NA,NA,NA,85.7139663696289,70.9755096435547
"622","SST",2021,NA,35.2812948290309,NA,NA,NA,NA,4.96056990752837,NA,NA,NA,3.38095238095238,1.00894999504089,NA,NA,NA,1.34853994846344,NA,NA,NA,NA,NA,NA,NA,NA,NA,1572.59921942979,NA,NA,NA,49.7255180018224,19646549,5.96718858721319,16.8572680612763,3286093.25,NA,NA,23.263921314831,14.4213446314078,243009421520.273,NA,NA,NA,NA,85.6985931396484,71.7259521484375
"623","SST",2022,NA,34.7739335807628,NA,NA,NA,NA,NA,NA,NA,NA,3.4047619047619,1.01184999942779,NA,NA,NA,1.34739005565643,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667.85713228214,NA,NA,NA,49.7266161730825,19852364,6.56285775239893,16.4852893809019,3339814.25,NA,NA,22.8784198884606,14.2246080450782,269954645297.005,NA,NA,NA,NA,85.7940292358398,70.9410705566406
"624","SVK",2018,NA,27.014,30.127,15.517,77.899,70.411,3.79478386044334,72.548,65.303,NA,NA,NA,0.996760010719299,1.00672996044159,1.0118499994278,1.33836996555328,NA,9.3,3.2,8.8,17.02,NA,NA,3.87983450075018,NA,2092.63844486791,NA,NA,0.703628182411194,51.1784910141622,5446771,3.91808506492153,10.6,441952,NA,NA,5,3,106611673364.837,NA,6.86746978759766,NA,NA,92.8151473999023,80.9870910644531
"625","SVK",2019,NA,26.699,30.52,15.376,79.154,71.329,4.12542096576481,71.766,64.628,NA,NA,NA,0.99533998966217,1.00722002983093,1.01339995861053,1.33685994148254,5.10477524844871,8.8,3.6,9.5,NA,NA,NA,1.24517177818124,NA,2350.36598550736,NA,NA,NA,51.1630774153281,5454147,2.13758470717096,10.5,440701,NA,NA,4.9,3,105843498304.094,NA,5.89092016220093,NA,NA,91.3837127685547,80.7211532592773
"626","SVK",2020,NA,25.975,25.414,13.598,78.776,71.465,4.12542096576481,70.977,63.653,NA,NA,NA,0.996540009975433,1.00653994083405,1.01170003414154,1.32714998722076,NA,10.2,3.5,9.1,NA,NA,NA,-3.22118990882836,NA,2494.68704539571,NA,NA,0.691269516944885,51.1568512176759,5458827,-2.66902849173539,10.4,442538,NA,NA,4.9,3,107732602896.441,NA,4.89904022216797,NA,NA,96.5482406616211,74.6731796264648
